__________________________________________________
idx: 1089-134686-0000
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
14	I	I	I	null	0.93	0.0	0.51
15	P	P	P	null	1.0	0.0	0.98
16	S▁	S▁	S▁	null	0.99	0.0	0.92
==================================================

__________________________________________________
idx: 5142-33396-0004
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	THESE▁	THESE▁	THESE▁	null	0.99	0.0	0.99
1	HE▁	HE▁	HE▁	null	0.54	0.0	1.0
2	GA	GA	GA	null	0.62	0.0	1.0
3	VE▁	VE▁	VE▁	null	0.83	0.0	1.0
4	TO▁	THE▁	THE▁	null	0.76	0.0	1.0
5	THREE▁	THREE▁	THREE▁	null	0.71	0.0	1.0
6	OF▁	OF▁	OF▁	null	1.0	0.0	0.99
7	MY▁	MY▁	MY▁	null	0.52	0.0	1.0
8	B	B	B	null	1.0	0.0	0.99
9	RO	RO	RO	null	0.97	0.0	1.0
10	TH	TH	TH	null	1.0	0.0	0.99
11	ERS▁	ERS▁	ERS▁	null	1.0	0.0	0.83
==================================================

__________________________________________________
idx: 5142-33396-0005
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	BUT▁	BUT▁	BUT▁	null	0.96	0.0	0.98
1	I▁	I▁	I▁	null	0.99	0.0	1.0
2	STA	STA	STA	null	1.0	0.0	1.0
3	Y	Y	Y	null	0.87	0.0	1.0
4	ED▁	ED▁	ED▁	null	0.98	0.0	0.93
5	THAT▁	THAT▁	THAT▁	null	0.57	0.0	0.99
6	SP	SP	SP	null	0.99	0.0	0.94
7	R	R	R	null	0.85	0.01	1.0
8	ING▁	ING▁	ING▁	null	0.95	0.0	0.91
9	AND▁	AND▁	AND▁	null	0.75	0.0	0.74
10	BU	BU	BU	null	1.0	0.0	1.0
11	I	I	I	null	1.0	0.0	0.94
12	L	L	L	null	1.0	0.01	0.94
13	T▁	T▁	T▁	'	1.0	0.59	0.63
14	ME▁	ME▁	ME▁	null	1.0	0.0	0.96
15	A▁	ABOUT▁	ABOUT▁	null	0.83	0.0	0.99
==================================================

__________________________________________________
idx: 5142-33396-0006
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	I▁	I▁	I▁	null	0.99	0.0	1.0
1	MADE▁	MADE▁	MADE▁	null	0.98	0.0	1.0
2	HER▁	HER▁	HER▁	null	0.99	0.0	0.96
3	FOR▁	F	F	null	0.36	0.0	0.98
4	FOR▁	RI	RI	null	0.8	0.0	0.94
5	ONLY▁	EN	EN	null	0.62	0.01	0.99
6	ONLY▁	D	D	null	0.56	0.0	0.92
7	ONLY▁	LY▁	LY▁	null	1.0	0.0	0.22
8	TWENTY▁	TWENTY▁	TWENTY▁	null	1.0	0.0	1.0
9	O	WAR	WAR	null	0.96	0.0	1.0
10	S▁	S▁	S▁	null	1.0	0.0	1.0
11	BECAUSE▁	BECAUSE▁	BECAUSE▁	null	1.0	0.0	1.0
12	I▁	I▁	I▁	null	1.0	0.0	1.0
13	THOUGHT▁	THOUGHT▁	THOUGHT▁	null	1.0	0.0	1.0
14	FEW▁	FEW▁	FEW▁	null	1.0	0.0	1.0
15	MEN▁	MEN▁	MEN▁	null	1.0	0.0	1.0
16	WOULD▁	WOULD▁	WOULD▁	null	0.7	0.0	1.0
17	FO	FO	FO	null	1.0	0.0	1.0
18	L	L	L	null	1.0	0.0	0.97
19	LOW▁	LOW▁	LOW▁	null	1.0	0.0	0.94
20	ME▁	ME▁	ME▁	null	1.0	0.0	1.0
21	FOR▁	FOR▁	FOR▁	null	1.0	0.0	1.0
22	I▁	I▁	I▁	null	1.0	0.0	1.0
23	WAS▁	WAS▁	WAS▁	null	1.0	0.0	1.0
24	YOUNG▁	YOUNG▁	YOUNG▁	null	0.99	0.0	1.0
25	FI	FI	FI	null	1.0	0.0	1.0
26	F	F	F	null	1.0	0.0	1.0
27	TE	TE	TE	null	1.0	0.0	0.95
28	EN▁	EN▁	EN▁	null	0.59	0.0	0.89
29	YEARS▁	YEARS▁	YEARS▁	null	1.0	0.0	1.0
30	OLD▁	OLD▁	OLD▁	null	1.0	0.0	1.0
==================================================

__________________________________________________
idx: 5142-33396-0007
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	AT▁	AT▁	AT▁	null	0.99	0.0	0.98
1	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
2	P	P	P	null	1.0	0.0	0.99
3	ROW▁	ROW▁	ROW▁	ROW▁	1.0	0.01	0.89
4	I▁	I▁	I▁	null	1.0	0.0	0.99
5	CAR	CAR	CAR	null	0.98	0.0	0.98
6	ED▁	ED▁	ED▁	VI	0.86	0.01	0.65
7	THE▁	THE▁	THE▁	null	1.0	0.0	0.99
8	HEAD▁	HEAD▁	HEAD▁	null	1.0	0.0	1.0
9	WITH▁	WITH▁	WITH▁	null	1.0	0.0	1.0
10	OPEN▁	OPEN▁	OPEN▁	null	1.0	0.0	1.0
11	MO	MO	MO	null	0.72	0.0	0.99
12	U	U	U	null	0.98	0.0	1.0
13	TH▁	TH▁	TH▁	null	0.93	0.0	1.0
14	AND▁	AND▁	AND▁	null	1.0	0.0	1.0
15	FOR	FOR	FOR	null	1.0	0.0	1.0
16	KED▁	KED▁	KED▁	KED▁	1.0	0.0	1.0
17	T	T	T	null	0.97	0.0	1.0
18	ON	ON	ON	null	1.0	0.0	1.0
19	GU	GU	GU	null	1.0	0.0	1.0
20	E▁	E▁	E▁	null	1.0	0.01	0.57
21	TH	TH	TH	null	1.0	0.0	0.99
22	R	R	R	null	1.0	0.0	0.99
23	US	US	US	null	1.0	0.0	0.8
24	T▁	T▁	T▁	null	0.53	0.0	0.93
25	OUT▁	OUT▁	OUT▁	null	0.8	0.0	0.98
==================================================

__________________________________________________
idx: 5142-33396-0008
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	I▁	I▁	I▁	null	1.0	0.0	0.99
1	PA	PA	PA	null	1.0	0.0	1.0
2	IN	IN	IN	null	0.94	0.0	0.89
3	TED▁	TED▁	TED▁	null	0.99	0.0	0.87
4	THE▁	THE▁	THE▁	null	0.97	0.0	1.0
5	EYES▁	EYES▁	EYES▁	null	1.0	0.0	1.0
6	RED▁	RED▁	RED▁	null	1.0	0.0	1.0
7	FOR▁	FOR▁	FOR▁	null	0.9	0.0	1.0
8	AN	AN	AN	null	0.99	0.0	1.0
9	G	G	G	null	1.0	0.0	1.0
10	ER▁	ER▁	ER▁	null	1.0	0.0	0.91
==================================================

__________________________________________________
idx: 5142-33396-0009
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	THERE▁	THEY▁	THEY▁	null	0.84	0.0	0.96
1	THERE▁	ARE▁	ARE▁	null	0.62	0.0	0.99
2	ST	ST	ST	null	1.0	0.0	0.99
3	AND▁	AND▁	AND▁	AN	0.97	0.0	0.7
4	SO▁	SO▁	SO▁	null	0.92	0.0	0.98
5	I▁	I▁	I▁	null	0.98	0.0	1.0
6	SAID▁	SAID▁	SAID▁	null	0.89	0.0	1.0
7	AND▁	AND▁	AND▁	null	0.72	0.0	0.99
8	G	G	G	null	1.0	0.0	0.99
9	L	L	L	L	1.0	0.0	0.93
10	ARE▁	AR	AR	AR	0.49	0.02	0.65
11	S	S	S	null	0.92	0.01	0.85
12	S▁	ED▁	ED▁	AP	0.48	0.27	0.09
13	MY▁	MY▁	MY▁	null	1.0	0.0	0.98
14	FO	FO	FO	null	0.63	0.0	0.99
15	ES▁	ES▁	ES▁	ES▁	1.0	0.01	0.99
==================================================

__________________________________________________
idx: 5142-33396-0010
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	IN▁	IN▁	IN▁	null	0.99	0.0	0.97
1	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
2	S	S	S	null	0.51	0.0	0.99
3	TER	TER	TER	null	1.0	0.0	1.0
4	N▁	N▁	N▁	null	0.91	0.0	1.0
5	I▁	I▁	I▁	null	1.0	0.0	0.99
6	CUR	CAR	CAR	null	0.9	0.0	0.84
7	ED▁	▁	▁	A	0.57	0.05	0.51
8	THE▁	THE▁	THE▁	null	1.0	0.0	0.97
9	T	T	T	null	0.97	0.0	0.98
10	AIL▁	AIL▁	AIL▁	null	1.0	0.0	1.0
11	UP▁	UP▁	UP▁	null	0.45	0.0	1.0
12	AL	AL	AL	null	1.0	0.0	0.99
13	MOST▁	MOST▁	MOST▁	null	1.0	0.0	1.0
14	AS▁	AS▁	AS▁	null	0.7	0.0	0.99
15	HIGH▁	HIGH▁	HIGH▁	null	0.99	0.0	1.0
16	AS▁	AS▁	AS▁	null	1.0	0.0	1.0
17	THE▁	THE▁	THE▁	null	0.59	0.0	0.98
18	HEAD▁	HEAD▁	HEAD▁	null	1.0	0.0	1.0
==================================================

__________________________________________________
idx: 5142-33396-0011
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	THERE▁	THERE▁	THERE▁	null	0.89	0.0	0.93
1	SHE▁	SHE▁	SHE▁	null	0.95	0.0	0.98
2	S	S	S	null	0.75	0.0	1.0
3	AT▁	AT▁	AT▁	null	0.99	0.0	0.99
4	ON▁	ON▁	ON▁	null	1.0	0.0	0.99
5	THE▁	THE▁	THE▁	null	0.94	0.0	0.99
6	RO	RO	RO	null	1.0	0.0	0.88
7	LL	LL	LL	LL	0.99	0.01	0.8
8	ERS▁	ERS▁	ERS▁	null	0.75	0.0	1.0
9	AS▁	AS▁	AS▁	null	0.86	0.0	0.99
10	F	F	F	null	0.82	0.0	1.0
11	AIR▁	AIR▁	AIR▁	null	1.0	0.0	0.99
12	A▁	A▁	A▁	null	0.53	0.0	0.82
13	SHIP▁	SHIP▁	SHIP▁	null	0.68	0.0	0.98
14	AS▁	AS▁	AS▁	null	0.64	0.0	1.0
15	I▁	I▁	I▁	null	1.0	0.0	0.99
16	EVER▁	EVER▁	EVER▁	null	1.0	0.0	1.0
17	SAW▁	SAW▁	SAW▁	null	0.99	0.0	1.0
==================================================

__________________________________________________
idx: 5142-33396-0012
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	THEN▁	THEN▁	THEN▁	null	0.62	0.0	0.99
1	I▁	I▁	I▁	null	0.96	0.0	1.0
2	WILL▁	WILL▁	WILL▁	null	0.87	0.0	1.0
3	GET▁	GET▁	GET▁	null	0.69	0.0	1.0
4	ME▁	ME▁	ME▁	null	1.0	0.0	1.0
5	A▁	A▁	A▁	null	1.0	0.0	1.0
6	F	F	F	null	0.77	0.0	1.0
7	AR	AR	AR	null	1.0	0.0	1.0
8	M▁	M▁	M▁	null	1.0	0.0	1.0
9	AND▁	AND▁	AND▁	null	0.99	0.0	1.0
10	WILL▁	WILL▁	WILL▁	null	1.0	0.0	1.0
11	W	W	W	null	1.0	0.0	1.0
12	IN	IN	IN	null	1.0	0.0	0.5
13	TER▁	TER▁	TER▁	N	0.94	0.0	0.67
14	IN▁	IN▁	IN▁	null	1.0	0.0	0.99
15	THAT▁	THAT▁	THAT▁	null	0.97	0.0	1.0
16	L	L	L	null	1.0	0.0	1.0
17	AND▁	AND▁	AND▁	null	0.99	0.0	1.0
18	NOW▁	NOW▁	NOW▁	null	1.0	0.0	1.0
19	WHO▁	WHO▁	WHO▁	null	0.99	0.0	1.0
20	WILL▁	WILL▁	WILL▁	null	0.87	0.0	1.0
21	FO	FO	FO	null	1.0	0.0	1.0
22	L	L	L	null	0.78	0.0	1.0
23	LOW▁	LOW▁	LOW▁	null	0.99	0.0	1.0
24	ME▁	ME▁	ME▁	null	0.99	0.0	0.99
==================================================

__________________________________________________
idx: 5142-33396-0013
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	HE▁	HE▁	HE▁	null	0.91	0.0	0.99
1	IS▁	IS▁	IS▁	null	1.0	0.0	1.0
2	BUT▁	BUT▁	BUT▁	null	1.0	0.0	1.0
3	A▁	A▁	A▁	null	0.74	0.0	1.0
4	BO	BO	BO	null	0.99	0.0	1.0
5	Y▁	Y▁	Y▁	null	1.0	0.0	0.99
6	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
7	MEN▁	MAN▁	MAN▁	null	0.7	0.0	1.0
8	SAID▁	SAID▁	SAID▁	null	1.0	0.0	1.0
==================================================

__________________________________________________
idx: 5142-33396-0014
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	TH	TH	TH	null	1.0	0.0	1.0
1	IR	IR	IR	null	1.0	0.0	0.75
2	TY▁	TY▁	TY▁	null	0.75	0.0	0.99
3	MEN▁	MEN▁	MEN▁	null	0.99	0.0	1.0
4	ONE▁	ONE▁	ONE▁	null	0.98	0.0	1.0
5	AFTER▁	AFTER▁	AFTER▁	null	1.0	0.0	1.0
6	ANOTHER▁	ANOTHER▁	ANOTHER▁	null	1.0	0.0	1.0
7	RA	RA	RA	null	0.95	0.0	1.0
8	IS	IS	IS	null	1.0	0.0	1.0
9	ED▁	ED▁	ED▁	null	1.0	0.0	1.0
10	THEIR▁	THEIR▁	THEIR▁	null	0.76	0.0	1.0
11	HO	HO	HO	null	0.99	0.0	1.0
12	R	R	R	null	1.0	0.0	0.94
13	N	N	N	IN	0.52	0.0	0.65
14	S▁	S▁	S▁	null	0.99	0.0	0.65
15	AND▁	AND▁	AND▁	null	1.0	0.0	1.0
16	SAID▁	SAID▁	SAID▁	null	1.0	0.0	1.0
==================================================

__________________________________________________
idx: 5142-33396-0015
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	AS▁	AS▁	AS▁	null	0.86	0.0	0.98
1	OUR▁	OUR▁	OUR▁	null	1.0	0.0	1.0
2	BO	BO	BO	null	1.0	0.0	1.0
3	AT▁	AT▁	AT▁	null	0.99	0.0	1.0
4	F	F	F	null	1.0	0.0	1.0
5	LA	LA	LA	null	1.0	0.0	0.94
6	SHED▁	SHED▁	SHED▁	null	1.0	0.0	0.91
7	DOWN▁	DOWN▁	DOWN▁	null	0.94	0.0	1.0
8	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
9	RO	RO	RO	null	1.0	0.0	0.98
10	LL	LL	LL	LL	0.77	0.0	0.9
11	ERS▁	ERS▁	ERS▁	null	0.99	0.0	1.0
12	INTO▁	INTO▁	INTO▁	null	0.94	0.0	1.0
13	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
14	WATER▁	WATER▁	WATER▁	null	0.54	0.0	1.0
15	I▁	I▁	I▁	null	1.0	0.0	1.0
16	MADE▁	MADE▁	MADE▁	null	1.0	0.0	1.0
17	THIS▁	THIS▁	THIS▁	null	0.96	0.0	1.0
18	SO	SO	SO	null	0.97	0.0	1.0
19	NG▁	NG▁	NG▁	null	0.99	0.0	0.99
20	AND▁	AND▁	AND▁	null	0.63	0.0	0.99
21	SA	SA	SA	null	0.99	0.0	1.0
22	NG▁	NG▁	NG▁	null	0.92	0.0	0.99
23	IT▁	IT▁	IT▁	null	0.99	0.0	0.94
==================================================

__________________________________________________
idx: 5142-33396-0016
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	SO▁	SO▁	SO▁	null	1.0	0.0	1.0
1	WE▁	WE▁	WE▁	null	1.0	0.0	1.0
2	HAR	HAR	HAR	null	0.91	0.0	1.0
3	RI	RI	RI	RI	1.0	0.0	0.78
4	ED▁	ED▁	ED▁	D	0.69	0.0	0.43
5	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
6	CO	CO	CO	null	1.0	0.0	1.0
7	AS	AS	AS	null	1.0	0.0	0.85
8	T▁	T▁	T▁	null	0.99	0.0	1.0
9	OF▁	OF▁	OF▁	null	0.84	0.0	0.98
10	N	N	N	null	1.0	0.0	0.98
11	OR	OR	OR	OR	1.0	0.0	0.88
12	WAY▁	WAY▁	WAY▁	null	1.0	0.0	0.49
==================================================

__________________________________________________
idx: 5142-33396-0017
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	WE▁	WE▁	WE▁	null	0.72	0.0	0.99
1	ATE▁	ATE▁	ATE▁	null	1.0	0.0	1.0
2	AT▁	IT▁	IT▁	null	0.95	0.0	0.98
3	MANY▁	MANY▁	MANY▁	null	1.0	0.0	1.0
4	MEN	MEN	MEN	null	0.7	0.0	1.0
5	'	'	'	null	0.8	0.0	0.98
6	S▁	S▁	S▁	null	1.0	0.0	1.0
7	TA	TA	TA	null	1.0	0.0	1.0
8	BL	BL	BL	null	0.98	0.0	0.9
9	ES▁	ES▁	ES▁	null	0.99	0.0	0.99
10	UN	UN	UN	null	1.0	0.0	1.0
11	IN	IN	IN	IN	0.87	0.0	0.65
12	VI	VI	VI	null	0.97	0.0	0.97
13	TED▁	TED▁	TED▁	null	0.91	0.01	0.78
==================================================

__________________________________________________
idx: 5142-33396-0018
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	MY▁	MY▁	MY▁	null	0.95	0.0	0.97
1	D	D	D	null	1.0	0.0	1.0
2	RA	RA	RA	null	0.52	0.0	0.93
3	G	G	G	G	0.9	0.0	0.88
4	ON	AND	ON▁	AND	0.87	1.0	0.44
5	S▁	S▁	S▁	null	0.94	0.0	1.0
6	BE	BE	BE	null	0.99	0.0	0.98
7	L	L	L	L	0.97	0.0	0.74
8	LY▁	LY▁	LY▁	null	0.8	0.01	0.87
9	IS▁	IS▁	IS▁	null	0.92	0.0	0.99
10	NEVER▁	NEVER▁	NEVER▁	null	1.0	0.0	0.99
11	F	F	F	null	1.0	0.0	0.94
12	U	U	U	null	0.97	0.0	0.99
13	LL▁	LL▁	LL▁	null	1.0	0.0	0.84
14	AND▁	AND▁	AND▁	null	0.8	0.0	1.0
15	ON▁	ON▁	ON▁	null	0.89	0.0	1.0
16	BO	BO	BO	null	1.0	0.0	1.0
17	AR	AR	AR	null	0.56	0.0	1.0
18	D▁	D▁	D▁	null	1.0	0.0	0.72
19	WENT▁	WENT▁	WENT▁	null	0.81	0.0	1.0
20	THE▁	THE▁	THE▁	null	0.99	0.0	0.95
21	G	G	G	null	1.0	0.0	0.98
22	OLD▁	OLD▁	OLD▁	null	0.8	0.0	0.99
==================================================

__________________________________________________
idx: 5142-33396-0019
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	O	O	O	null	0.99	0.0	0.98
1	H▁	H▁	H▁	null	0.93	0.0	1.0
2	IT▁	IT▁	IT▁	null	1.0	0.0	1.0
3	IS▁	IS▁	IS▁	null	0.94	0.0	1.0
4	BETTER▁	BETTER▁	BETTER▁	null	0.55	0.0	1.0
5	TO▁	TO▁	TO▁	null	0.96	0.0	0.99
6	LI	LI	LI	null	1.0	0.0	1.0
7	VE▁	VE▁	VE▁	null	0.51	0.0	1.0
8	ON▁	ON▁	ON▁	null	0.94	0.0	1.0
9	THE▁	THE▁	THE▁	null	0.95	0.0	0.97
10	SE	SE	SE	null	0.69	0.0	1.0
11	A▁	A▁	A▁	null	1.0	0.0	1.0
12	AND▁	AND▁	AND▁	null	0.96	0.0	1.0
13	LET▁	LET▁	LET▁	null	1.0	0.0	1.0
14	OTHER▁	OTHER▁	OTHER▁	null	1.0	0.0	1.0
15	MEN▁	MEN▁	MEN▁	null	1.0	0.0	1.0
16	RA	RA	RA	null	1.0	0.0	1.0
17	I	I	I	null	1.0	0.0	1.0
18	SE▁	SE▁	SE▁	null	0.97	0.01	0.99
19	YOUR▁	YOUR▁	YOUR▁	null	0.99	0.0	1.0
20	C	C	C	null	1.0	0.0	0.99
21	RO	RO	RO	RO	1.0	0.0	0.59
22	P	P	P	null	1.0	0.0	0.93
23	S▁	S▁	S▁	null	0.79	0.0	0.39
24	AND▁	AND▁	AND▁	null	1.0	0.0	1.0
25	CO	CO	CO	null	1.0	0.0	1.0
26	O	O	O	null	1.0	0.0	0.98
27	K▁	K▁	K▁	null	0.97	0.0	0.93
28	YOUR▁	YOUR▁	YOUR▁	null	1.0	0.0	1.0
29	ME	ME	ME	null	0.85	0.0	1.0
30	AL	EL	EL	null	0.43	0.01	0.99
31	S▁	S▁	S▁	OR	0.79	0.06	0.7
==================================================

__________________________________________________
idx: 5142-33396-0020
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	A▁	A▁	A▁	null	1.0	0.0	0.98
1	HOUSE▁	HOUSE▁	HOUSE▁	null	0.98	0.0	1.0
2	S	S	S	null	0.87	0.0	0.95
3	ME	ME	ME	ME	0.97	0.0	0.87
4	LL	L	L	L	0.97	0.09	0.9
5	LL	'	Y	'	0.44	0.84	0.5
6	S▁	S▁	S▁	null	1.0	0.0	1.0
7	OF▁	A▁	A▁	null	0.62	0.0	0.89
8	S	S	S	null	0.99	0.0	0.98
9	MO	MO	MO	null	1.0	0.0	1.0
10	KE▁	KE▁	KE▁	null	0.94	0.0	1.0
11	A▁	OF▁	OF▁	null	0.99	0.0	1.0
12	SHIP▁	SH	SH	null	0.99	0.0	0.98
13	SHIP▁	I	I	null	1.0	0.0	0.97
14	SHIP▁	P	P	null	1.0	0.0	0.44
15	SHIP▁	S▁	S▁	H	0.78	0.1	0.33
16	S	S	S	null	0.76	0.0	0.91
17	ME	ME	ME	ME	1.0	0.0	0.94
18	LL	L	L	L	0.59	0.02	0.84
19	LL	'	AN	'	0.65	0.84	0.33
20	S▁	S▁	S▁	null	1.0	0.0	1.0
21	OF▁	OF▁	OF▁	null	1.0	0.0	0.96
22	F	F	F	null	0.96	0.0	1.0
23	RO	RO	RO	RO	0.99	0.0	0.92
24	IC▁	IC▁	IC▁	null	0.69	0.02	0.25
==================================================

__________________________________________________
idx: 5142-33396-0021
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	UP▁	UP▁	UP▁	null	1.0	0.0	1.0
1	AND▁	AND▁	AND▁	null	1.0	0.0	0.99
2	DOWN▁	DOWN▁	DOWN▁	null	1.0	0.0	1.0
3	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
4	WATER▁	WATER▁	WATER▁	null	0.92	0.0	1.0
5	WE▁	WE▁	WE▁	null	1.0	0.0	1.0
6	WENT▁	WENT▁	WENT▁	null	0.99	0.0	1.0
7	TO▁	TO▁	TO▁	null	0.86	0.0	1.0
8	GET▁	GET▁	GET▁	null	0.98	0.0	1.0
9	MUCH▁	MUCH▁	MUCH▁	null	1.0	0.0	1.0
10	WE	WE	WE	null	1.0	0.0	1.0
11	AL	AL	AL	null	1.0	0.0	1.0
12	TH▁	TH▁	TH▁	null	1.0	0.0	0.95
13	AND▁	AND▁	AND▁	null	1.0	0.0	1.0
14	MUCH▁	MUCH▁	MUCH▁	null	1.0	0.0	1.0
15	F	F	F	null	1.0	0.0	0.99
16	RO	RO	RO	RO	1.0	0.0	0.92
17	L	L	L	null	0.69	0.0	0.52
18	IC▁	LO	LO	LO	0.83	0.0	0.88
19	IC▁	L	O	L	0.38	1.0	0.4
20	IC▁	OVER	ANT▁	OVER	0.27	1.0	0.51
21	IC▁	CAME▁	<blank>	CAME▁	0.24	1.0	0.42
==================================================

__________________________________________________
idx: 5142-33396-0022
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	WHAT▁	WHAT▁	WHAT▁	null	0.64	0.0	0.99
1	OF▁	IS▁	IS▁	null	0.81	0.0	1.0
2	THE▁	THE▁	THE▁	null	0.92	0.0	0.99
3	F	F	F	null	0.59	0.0	1.0
4	AR	AR	AR	null	1.0	0.0	0.65
5	M▁	M▁	M▁	null	0.98	0.0	0.98
6	O	O	O	null	0.66	0.0	0.99
7	LA	LA	LA	LO	0.31	0.08	0.44
8	F▁	UG	UG	U	0.62	0.15	0.56
9	F▁	H	H	null	0.97	0.0	1.0
10	F▁	W	ED▁	W	0.79	0.99	0.34
11	F▁	NOT▁	NOT▁	null	0.84	0.14	0.99
12	NOT▁	NOT▁	NOT▁	null	0.91	0.0	1.0
13	YET▁	YET▁	YET▁	null	0.96	0.0	0.99
14	I▁	I▁	I▁	null	1.0	0.0	1.0
15	ANSWERED▁	ANSWERED▁	ANSWERED▁	null	1.0	0.0	1.0
16	VI	BI	BI	null	0.58	0.0	0.99
17	KING▁	C	C	null	0.29	0.0	0.72
18	KING▁	ING▁	ING▁	AD	0.62	0.39	0.24
19	IS▁	IS▁	IS▁	null	0.82	0.0	1.0
20	BETTER▁	BETTER▁	BETTER▁	null	1.0	0.0	1.0
21	FOR▁	FOR▁	FOR▁	null	1.0	0.0	0.99
22	SU	SU	SU	null	1.0	0.0	1.0
23	M	M	M	M	1.0	0.0	0.75
24	M	M	M	null	0.5	0.0	0.84
25	ER▁	ER▁	ER▁	null	1.0	0.0	0.4
==================================================

__________________________________________________
idx: 5142-33396-0023
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	IT▁	YOU▁	YOU▁	null	0.59	0.0	0.97
1	WAS▁	WAS▁	WAS▁	null	0.99	0.0	0.99
2	SO▁	SO▁	SO▁	null	0.91	0.0	1.0
3	D	D	D	null	1.0	0.0	1.0
4	AR	AR	AR	null	1.0	0.0	0.96
5	K▁	K▁	K▁	null	1.0	0.0	0.98
6	THAT▁	THAT▁	THAT▁	null	0.95	0.0	1.0
7	I▁	I▁	I▁	null	1.0	0.0	1.0
8	COULD▁	COULD▁	COULD▁	null	0.98	0.0	1.0
9	SEE▁	SEE▁	SEE▁	null	1.0	0.0	1.0
10	NOTHING▁	NOTHING▁	NOTHING▁	null	1.0	0.0	1.0
11	BUT▁	BUT▁	BUT▁	null	1.0	0.0	1.0
12	A▁	A▁	A▁	null	0.8	0.0	1.0
13	FEW▁	FEW▁	FEW▁	null	1.0	0.0	1.0
14	S	S	S	null	1.0	0.0	0.99
15	PAR	PAR	PAR	PAR	1.0	0.0	0.88
16	K	K	K	null	0.55	0.0	0.99
17	S▁	S▁	S▁	A	0.85	0.02	0.15
18	ON▁	ON▁	ON▁	null	1.0	0.0	1.0
19	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
20	HE	HAR	HAR	null	0.66	0.0	1.0
21	TH▁	D▁	D▁	null	0.66	0.05	0.88
==================================================

__________________________________________________
idx: 5142-33396-0024
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	I▁	I▁	I▁	null	0.54	0.0	1.0
1	STOOD▁	STOOD▁	STOOD▁	null	0.88	0.0	1.0
2	WITH▁	WITH▁	WITH▁	null	1.0	0.0	1.0
3	MY▁	MY▁	MY▁	null	1.0	0.0	1.0
4	BACK▁	BACK▁	BACK▁	null	1.0	0.0	1.0
5	TO▁	TO▁	TO▁	null	0.99	0.0	1.0
6	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
7	W	W	W	null	0.94	0.0	1.0
8	ALL▁	ALL▁	ALL▁	null	0.95	0.0	1.0
9	FOR▁	FOR▁	FOR▁	null	0.99	0.0	1.0
10	I▁	I▁	I▁	null	1.0	0.0	1.0
11	W	W	W	null	0.65	0.0	1.0
12	AN	AN	AN	null	0.99	0.0	0.99
13	TED▁	TED▁	TED▁	null	1.0	0.0	0.97
14	NO▁	NO▁	NO▁	null	1.0	0.0	1.0
15	S	S	S	null	0.75	0.0	1.0
16	WORD▁	WORD▁	WORD▁	null	1.0	0.0	1.0
17	RE	RE	RE	null	1.0	0.0	1.0
18	A	A	A	null	1.0	0.0	0.97
19	CH	CH	CH	null	1.0	0.01	0.83
20	ING▁	ING▁	ING▁	null	1.0	0.0	0.6
21	OUT▁	OUT▁	OUT▁	null	1.0	0.0	1.0
22	OF▁	OF▁	OF▁	null	0.99	0.0	0.97
23	THE▁	THE▁	THE▁	null	1.0	0.0	0.98
24	D	D	D	null	1.0	0.0	0.99
25	AR	AR	AR	null	1.0	0.0	0.84
26	K▁	K▁	K▁	null	1.0	0.0	0.98
